@relation parkinsons-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R23_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A22-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R19_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute status numeric
@attribute Cluster {cluster0,cluster1}

@data
104,-0.02266,0.017987,-0.092878,-0.068036,-0.065862,0.044621,-0.000984,0.00609,0.035709,0.032491,-0.049728,0.032819,0.02232,-0.039799,0.018196,-0.141531,0.091662,-0.00362,0.079861,-0.035847,0.032831,1,cluster1
105,0.020751,-0.034291,-0.040628,-0.004462,-0.05598,0.031026,0.00773,-0.03251,0.004478,0.040642,-0.015251,0.029572,-0.000973,-0.083272,0.018842,-0.082469,0.09979,-0.0151,0.036627,-0.051324,-0.001792,1,cluster1
106,0.016725,-0.017209,-0.070689,-0.028807,-0.057435,0.0013,-0.083593,0.051415,0.005986,-0.023818,0.056071,0.120235,0.028271,0.02284,-0.031034,-0.048052,0.063637,0.01014,0.119807,-0.018845,-0.011528,1,cluster1
107,-0.048953,-0.055114,-0.068386,-0.03874,-0.028424,0.145245,-0.018652,0.032659,0.01072,0.006562,-0.033765,-0.018498,-0.013486,-0.094962,0.000294,-0.083011,0.016355,0.006462,-0.001179,-0.026614,-0.04169,1,cluster1
108,-0.024245,-0.030059,-0.11125,-0.070436,-0.022513,0.057931,-0.019305,0.019283,0.02801,-0.019815,-0.009582,0.061358,0.081109,-0.027177,0.020819,-0.094968,0.02136,-0.048298,0.140095,-0.0317,0.050881,1,cluster1
109,0.043209,0.047853,-0.041774,0.082125,-0.011156,0.073523,0.098488,-0.028,0.003811,-0.036275,0.09309,-0.025208,0.054431,-0.027951,0.040925,-0.007071,0.085533,0.005271,-0.207013,-0.039343,-0.019007,1,cluster1
110,0.037134,0.107372,-0.091159,0.045785,-0.01572,-0.065841,0.03048,-0.033048,-0.025533,-0.032391,0.057523,0.042887,0.102067,-0.014421,-0.004116,0.037405,-0.048196,0.079742,-0.076211,-0.092964,0.026799,1,cluster1
111,-0.021963,0.042923,-0.063424,0.085354,0.012188,0.08748,-0.054471,-0.028769,0.050247,-0.002261,-0.054836,-0.103299,0.053471,0.032797,0.094318,-0.123614,0.041263,0.056298,-0.061084,-0.003524,-0.032805,1,cluster1
112,0.101266,0.05793,-0.090256,0.078073,0.050824,-0.015983,-0.054112,-0.0651,-0.0949,-0.080105,0.081904,-0.047149,0.103935,0.157643,0.056586,-0.033534,-0.02709,0.019428,-0.088492,-0.023936,0.026502,1,cluster1
113,0.018386,0.016218,-0.033562,0.114226,-0.028007,0.031565,-0.049755,-0.002454,-0.051788,-0.007757,0.061779,-0.083504,0.012454,-0.027969,0.069444,-0.023491,-0.003207,0.070764,-0.084166,-0.034374,-0.045751,1,cluster1
114,-0.0381,0.057252,-0.068731,0.053412,-0.012016,0.04257,0.08725,0.045311,0.092591,0.016607,-0.101723,-0.004506,0.160249,-0.060314,-0.017926,0.00289,-0.007258,0.060666,-0.047432,-0.036226,-0.002335,1,cluster1
115,-0.00227,0.042671,-0.054226,-0.038072,-0.102752,-0.073521,-0.083066,0.1127,-0.048007,0.221156,0.022039,0.084943,0.063909,0.02135,-0.090299,0.0841,-0.159098,-0.11717,-0.014562,-0.069083,0.110867,1,cluster1
116,0.006485,0.009942,-0.074799,-0.019024,-0.009027,0.060866,-0.024268,0.065107,-0.018669,0.192683,0.038386,0.08493,0.041056,-0.010162,0.049433,0.058403,-0.00272,-0.038901,-0.041976,-0.032728,-0.000708,1,cluster1
117,0.04484,0.020371,-0.119327,0.044848,0.01821,0.018896,-0.050745,0.023105,-0.053581,0.121145,0.034565,0.097471,0.080229,-0.031113,0.067451,0.08212,-0.122568,-0.130851,-0.027635,-0.110719,0.12487,1,cluster1
118,-0.000672,0.022071,-0.024322,0.080885,-0.079865,0.036191,-0.110013,0.049791,0.003056,0.133057,0.066346,0.084165,-0.065949,-0.061977,0.111484,0.053023,-0.043627,-0.052936,-0.125804,-0.053953,0.123647,1,cluster1
119,-0.118492,-0.048274,0.00324,0.112022,-0.119341,-0.035701,-0.083239,0.092818,-0.016606,-0.033948,0.049839,0.241307,-0.013399,0.03163,0.051452,-0.012114,-0.011642,0.003513,-0.122324,-0.085504,0.079956,1,cluster1
120,-0.02219,-0.036328,0.013758,-0.057008,0.01635,0.128357,-0.082523,0.114208,0.041998,0.242819,-0.011427,0.039113,-0.032711,-0.021725,0.007718,0.052868,-0.076992,-0.030463,-0.038782,0.085665,-0.129506,1,cluster1
121,-0.068231,0.057978,-0.080502,-0.054068,-0.130924,0.016511,-0.086415,0.086519,-0.002505,-0.064149,0.136306,0.057336,-0.046763,-0.05216,0.006376,-0.017007,-0.096494,0.044872,-0.068598,-0.018362,0.092811,1,cluster1
122,0.019041,0.078983,0.061279,-0.036154,-0.069611,-0.075204,0.012599,-0.045466,-0.045747,-0.008236,-0.038096,-0.071607,0.041137,0.054493,-0.023867,0.037484,0.079438,-0.055813,-0.019733,0.018999,0.045796,1,cluster1
123,0.030371,0.062321,0.010637,0.023334,0.075503,-0.043229,0.122841,-0.140233,0.006028,-0.021215,0.023419,-0.030935,0.148788,-0.001253,0.016754,0.093407,-0.010107,0.076825,-0.118506,0.02668,0.058279,1,cluster1
124,0.076536,0.071915,0.000848,-0.018784,0.024769,-0.002526,0.103895,-0.102558,-0.048087,-0.028779,0.023829,0.006755,0.062157,0.044022,-0.031186,0.084759,0.057027,0.036743,-0.108754,0.091994,-0.021783,1,cluster1
125,0.076011,0.055715,0.043657,-0.023308,0.004936,-0.103923,0.067854,-0.084815,-0.062037,0.006026,0.049979,-0.000004,0.034665,0.039616,-0.018237,0.118242,0.053846,0.082811,-0.093383,0.110211,-0.005785,1,cluster1
126,0.054998,0.065695,0.05147,-0.064498,0.045902,-0.003483,0.143479,-0.108946,-0.03705,0.032727,-0.017235,-0.105514,-0.028103,-0.014611,0.043667,0.051991,0.030702,0.046625,-0.03203,0.101035,0.090323,1,cluster1
127,0.051845,0.081375,0.0554,-0.000881,0.044392,-0.058313,0.118899,-0.078312,-0.011126,0.017029,0.022656,-0.041382,0.029974,-0.004905,0.000036,0.095082,0.044709,0.11067,-0.068877,0.053966,0.053481,1,cluster1
128,-0.021037,-0.147751,-0.032662,0.006262,0.055004,0.027941,0.0064,0.015691,0.094989,0.005259,0.013576,0.084184,0.109704,-0.000817,-0.05253,0.021849,0.033261,-0.030293,0.089021,0.070032,0.019851,1,cluster1
129,0.074706,-0.037928,-0.104001,-0.03133,-0.03525,0.014921,0.008334,0.004722,-0.0683,-0.037852,0.05876,0.025699,-0.004249,-0.003107,-0.025838,0.00257,0.066032,-0.035214,0.018534,0.032482,0.068778,1,cluster1
130,0.021834,-0.067032,-0.112159,0.026497,-0.032542,0.020394,0.003901,0.08297,0.032411,-0.007259,0.038916,-0.008678,-0.015351,0.013387,-0.025283,0.021447,0.083743,0.047346,-0.019775,0.07767,-0.029362,1,cluster1
131,0.04008,-0.056702,-0.143427,0.004726,0.023613,-0.007285,-0.012776,0.060342,-0.02638,-0.036804,0.02703,0.060717,0.077826,0.040353,-0.103046,0.03661,0.008644,-0.000349,0.05711,0.025515,-0.046886,1,cluster1
132,0.038769,-0.057761,-0.144649,0.044095,-0.092799,-0.005793,0.033243,-0.011626,-0.004221,-0.022819,-0.052272,-0.003534,-0.000284,-0.028616,0.036596,-0.000772,0.055631,-0.057844,0.000222,0.003615,0.097577,1,cluster1
133,0.03855,-0.049435,-0.05455,-0.019964,-0.026658,-0.018286,-0.031851,-0.002945,-0.00425,-0.010171,0.03014,0.046795,0.020706,0.000037,-0.063874,0.041516,0.067291,0.052012,0.026245,0.059552,-0.023966,1,cluster1
134,0.042089,-0.087749,0.090331,0.017531,-0.013592,-0.022778,-0.00587,-0.008058,0.005187,0.030041,-0.042276,0.004495,-0.137179,0.034484,-0.069762,0.064129,0.049548,0.08614,-0.008165,-0.057916,-0.034365,1,cluster1
135,0.050748,-0.057653,-0.007179,-0.005313,0.0285,0.049181,-0.059991,-0.004742,0.011146,-0.081227,-0.095674,0.083155,-0.054599,0.112021,-0.065793,0.088487,0.01216,0.010054,0.045674,0.025564,-0.061488,1,cluster1
136,-0.026419,0.001436,-0.00558,-0.169116,0.062602,0.124924,-0.01113,-0.03013,-0.095883,-0.018735,-0.063459,-0.109587,-0.160532,-0.019108,0.017462,-0.020579,-0.042457,0.062534,0.017244,-0.071361,0.007792,1,cluster1
137,0.087167,-0.004534,-0.002569,-0.041131,-0.047536,0.051723,-0.034758,0.057459,-0.024366,-0.083904,-0.020802,-0.017647,-0.163459,0.098992,-0.034362,0.066164,0.049773,0.014747,0.048339,-0.025147,0.03748,1,cluster1
138,0.06393,-0.049568,0.068917,-0.05636,-0.033513,0.062553,-0.033833,0.038485,-0.031299,-0.033965,-0.036854,0.010618,-0.149776,0.089183,-0.022288,0.050262,0.146568,0.038594,0.014413,-0.03495,-0.060408,1,cluster1
139,-0.010737,-0.025342,-0.026351,-0.032524,0.086081,0.029678,-0.029997,0.00246,-0.016022,-0.036053,-0.115632,0.058444,-0.042788,0.096845,-0.063673,0.064246,0.013554,0.061637,0.06481,0.073165,-0.065441,1,cluster1
140,0.027503,-0.006671,-0.01237,0.108388,0.0883,0.051318,0.032139,0.035169,-0.068496,-0.002627,0.014674,0.105948,-0.087493,0.041306,0.014703,0.073492,-0.029516,-0.038162,-0.114945,-0.033392,0.063891,1,cluster1
141,0.005877,0.130365,0.086809,0.040424,0.007951,0.13006,0.130303,-0.040152,-0.021417,-0.065473,0.026047,0.009564,-0.115337,0.156033,0.063923,-0.061101,0.044662,-0.065294,-0.049591,-0.095105,-0.001438,1,cluster1
142,-0.016166,0.056254,0.060151,0.091288,-0.008217,0.050918,-0.036526,-0.062467,-0.065367,-0.07768,-0.0389,0.052443,-0.087753,0.083108,0.037016,0.009222,-0.022597,-0.00574,-0.003598,-0.037496,0.000119,1,cluster1
143,-0.0767,0.077231,0.016104,0.026176,-0.105993,0.03803,0.101911,-0.047163,-0.001287,-0.030905,-0.095212,0.031795,-0.043415,-0.026718,0.10953,0.010993,-0.012334,0.019398,-0.049467,0.041671,0.033723,1,cluster1
144,-0.043476,0.036487,0.049608,0.039458,-0.042336,0.075106,-0.068351,0.073679,-0.047514,-0.033162,-0.017844,0.017434,-0.090419,0.1037,0.042437,-0.027546,0.007193,0.045572,0.003803,0.025103,0.009684,1,cluster1
145,-0.103185,0.016773,0.014125,0.063159,-0.11947,-0.016385,0.019936,-0.02248,-0.037527,-0.044308,-0.06513,0.192055,0.00867,0.046849,0.108014,0.053221,-0.087584,0.024457,-0.014405,-0.079948,-0.016691,1,cluster1
146,0.023622,-0.039014,0.002826,0.020298,0.225065,-0.16271,-0.020854,0.129889,0.033057,0.001641,-0.092322,-0.084198,-0.02584,-0.099077,0.196465,0.00892,0.047202,0.01665,-0.005949,-0.169339,0.039208,1,cluster1
147,0.061897,-0.005115,-0.02255,0.063492,0.179866,-0.121316,-0.123114,0.052077,0.108388,0.012161,-0.049274,-0.046751,0.090657,-0.022333,0.085971,0.081973,0.094231,0.13735,-0.084074,-0.173232,0.040535,1,cluster1
148,0.084257,0.035275,-0.0786,0.003331,0.179977,-0.084974,-0.036193,0.080551,-0.015363,-0.080081,-0.041615,-0.045159,0.101007,0.129323,0.056317,-0.002383,-0.029215,-0.00687,-0.076254,-0.108009,-0.033675,1,cluster1
149,0.080929,0.157879,0.102973,-0.092566,0.049399,-0.021174,-0.187812,0.174481,-0.07973,0.153848,-0.068082,-0.12632,0.165573,0.031152,-0.056735,0.063941,-0.030617,-0.143466,-0.117553,-0.053446,-0.129281,1,cluster1
150,-0.008859,0.006599,0.08053,-0.106208,-0.09586,-0.030337,-0.118933,0.065622,0.095799,-0.177977,-0.171404,-0.03823,0.190141,-0.230232,0.017323,0.097963,0.018413,-0.179328,-0.167632,0.047089,-0.109674,1,cluster1
151,0.02292,0.206616,0.037874,-0.199344,0.31843,-0.162616,-0.143475,0.137855,0.236467,-0.284691,0.11983,0.097772,-0.120813,-0.162015,0.223545,0.077437,0.131765,-0.077875,0.051196,-0.039447,-0.159714,1,cluster1
152,0.110004,0.056291,-0.023673,-0.164443,0.049219,0.05243,-0.032893,0.082917,0.066571,-0.277458,-0.00638,-0.011071,0.149025,0.049618,0.078004,-0.04784,-0.026199,-0.287925,-0.193292,0.045249,-0.15672,1,cluster1
153,-0.109494,0.041281,0.016907,-0.153466,-0.007777,0.129519,-0.127599,-0.182659,0.088611,-0.058539,-0.01326,-0.052777,-0.048851,-0.083592,-0.051119,0.054978,-0.052391,0.0986,-0.027108,-0.035147,0.067881,1,cluster1
154,-0.067475,-0.052432,-0.027156,-0.098269,0.029787,0.086755,-0.000196,-0.065969,-0.010583,-0.09615,0.087792,-0.086545,0.019735,0.00603,-0.023674,0.091885,-0.099881,-0.033482,0.04317,0.017736,0.18197,1,cluster1
155,-0.055814,0.037209,-0.003332,-0.243048,0.09046,0.220371,-0.19496,-0.097239,0.056272,-0.170695,0.124096,-0.082013,0.024956,0.050754,-0.136799,0.11416,-0.171738,0.122753,-0.034339,-0.008649,0.200776,1,cluster1
156,-0.008397,-0.199969,-0.06954,-0.021382,-0.066721,0.060062,0.009777,0.046388,0.00212,-0.044617,0.0836,0.026186,0.068237,0.084699,0.089842,0.074977,0.096259,-0.044281,-0.030157,0.044931,0.011959,1,cluster1
157,-0.221644,-0.150485,-0.089566,-0.09015,0.047702,0.143999,-0.074898,-0.020689,-0.019992,0.064915,0.201841,-0.215136,0.042574,0.128576,-0.160083,0.007054,-0.086707,0.128529,-0.226207,-0.21909,-0.061601,1,cluster1
158,-0.043223,-0.231752,-0.098963,0.022027,0.012073,0.031895,0.001262,-0.051207,0.038968,-0.013092,0.020804,0.032821,0.180115,0.106331,0.104363,0.098266,0.043642,-0.02757,-0.022392,-0.049374,-0.015068,1,cluster1
159,-0.10549,-0.090579,0.01752,-0.13447,0.022774,-0.039894,0.026964,-0.07112,-0.185856,0.049304,-0.157523,-0.005171,0.063682,-0.015167,-0.018982,0.013141,-0.016029,-0.001296,-0.00464,-0.050405,-0.092982,1,cluster1
160,-0.159579,-0.056454,-0.025391,-0.22117,0.048535,-0.070864,0.083781,-0.022428,-0.273055,0.095792,-0.175721,-0.018435,0.021538,-0.05202,-0.036645,-0.042609,-0.041669,0.023435,-0.008213,-0.095503,-0.163567,1,cluster1
161,-0.054558,-0.032099,-0.05837,-0.052396,-0.08215,-0.041225,-0.047995,0.059563,-0.093863,-0.024746,-0.055924,-0.049117,-0.047652,0.06733,0.010625,0.027334,0.092334,0.00068,-0.000301,0.050483,-0.059843,1,cluster1
162,-0.078353,-0.103742,0.041408,-0.028043,0.001974,-0.039767,0.032269,-0.018518,-0.093761,-0.008101,-0.087663,-0.034865,0.042683,-0.022877,-0.041353,0.092368,-0.008108,-0.034203,0.007175,0.042361,-0.100026,1,cluster1
163,-0.009882,-0.021452,-0.028306,-0.028239,-0.076554,-0.08942,-0.067606,-0.101943,0.019747,-0.008618,-0.028512,0.051719,-0.01264,0.090166,0.02498,0.061101,0.088696,0.086004,0.022915,0.05725,0.00611,1,cluster1
164,-0.095729,-0.082713,-0.026942,-0.005218,-0.14817,0.010169,-0.145229,-0.151778,0.038939,-0.073116,-0.019122,-0.083303,-0.092948,-0.039312,0.101586,0.069143,-0.085708,-0.023916,-0.099375,-0.023867,0.117197,1,cluster1
165,-0.061078,0.097365,0.088724,0.000367,-0.106093,-0.005087,0.075387,0.024868,-0.055101,-0.038658,0.083042,0.111996,0.009029,0.010146,0.021378,0.010191,-0.017446,0.080036,-0.013329,-0.010584,-0.062153,0,cluster0
166,-0.033401,0.061978,0.083403,0.058489,-0.067366,-0.014012,-0.180145,-0.07167,-0.027439,-0.02622,0.018891,0.064435,0.026166,0.064809,0.047971,-0.033272,0.042921,0.117236,0.027119,-0.053172,-0.020287,0,cluster0
167,-0.042728,0.033858,0.15939,0.106876,-0.074268,0.035937,-0.059998,-0.115867,-0.041123,0.001594,-0.067948,-0.018386,0.034726,0.008896,0.151275,-0.054527,0.100881,0.045714,-0.016991,-0.04456,-0.026727,0,cluster0
168,-0.027439,0.115595,-0.142265,0.079494,0.002265,0.030574,0.101253,-0.008782,0.095192,-0.030159,-0.07674,-0.054792,0.120193,0.072105,0.057253,-0.069131,-0.005052,0.033996,-0.114617,0.052033,0.002873,0,cluster0
169,-0.026501,0.032309,0.086993,0.077045,-0.089357,-0.002244,-0.079858,0.055935,-0.011972,-0.028694,-0.008645,-0.05531,0.089529,0.117468,0.079336,-0.047391,0.096076,0.061361,-0.028572,0.070024,-0.025333,0,cluster0
170,0.006952,-0.016775,0.127743,0.145663,-0.017838,0.007232,-0.088117,-0.038386,-0.081387,-0.011229,0.02917,0.009961,0.067363,0.091426,0.072848,0.035041,0.057567,0.072409,-0.021851,0.016023,-0.111172,0,cluster0
171,0.048772,-0.041639,-0.100262,-0.006389,-0.040044,0.013932,-0.005589,0.024692,-0.000579,0.014095,0.009499,0.002952,-0.014753,-0.042768,-0.033604,-0.04343,0.0897,-0.024133,0.005296,0.027956,-0.004909,0,cluster0
172,0.052561,0.013966,-0.091677,-0.0326,-0.001713,-0.042152,-0.006368,-0.085268,0.040642,0.017528,-0.030822,0.012401,0.022338,-0.074871,-0.043494,-0.055098,0.064055,-0.008472,0.062986,-0.040701,0.092664,0,cluster0
173,0.067457,0.05292,-0.091967,-0.05306,-0.085366,-0.05626,-0.03645,-0.002608,-0.014904,-0.002392,0.056295,0.011745,-0.06077,-0.0279,-0.083978,-0.041592,0.073284,0.055165,0.012423,0.002241,0.019512,0,cluster0
174,0.043164,0.071259,-0.080251,-0.046038,-0.036274,-0.013038,-0.068069,-0.095836,0.056642,0.004281,-0.028737,0.039258,-0.036806,-0.04084,-0.061683,-0.031465,0.047765,0.057396,0.036298,-0.029856,0.020005,0,cluster0
175,0.056089,0.008337,-0.077278,-0.017493,-0.043858,-0.044205,-0.032384,-0.049057,0.013199,-0.014031,-0.006851,0.021958,0.005423,-0.027015,-0.05522,-0.027702,0.034206,-0.009609,0.064766,0.001551,0.050319,0,cluster0
176,0.030476,0.044333,-0.076404,-0.079579,-0.021164,-0.053573,-0.016909,0.037281,-0.004453,0.005255,0.016232,-0.019337,0.003059,0.023488,-0.101831,-0.060741,-0.004724,0.035975,0.088082,0.051522,0.032006,0,cluster0
177,0.011187,0.010007,-0.048335,0.02942,0.00548,0.071658,-0.005621,0.060012,0.024551,0.026535,-0.025685,-0.044749,-0.037968,-0.04879,-0.031367,-0.049346,0.026918,0.024756,-0.01721,0.048919,0.009232,1,cluster1
178,0.040125,0.045404,-0.055537,0.044375,-0.008447,-0.030667,-0.041718,0.036755,-0.004784,-0.02583,-0.005291,-0.004184,-0.014245,-0.004829,-0.07297,-0.015767,0.009295,0.027882,0.052774,0.05012,-0.001934,1,cluster1
179,-0.00894,-0.003339,-0.110264,0.078138,0.004069,0.040897,-0.024683,0.065324,0.046332,-0.03614,-0.055386,-0.078473,0.00025,-0.066795,-0.033676,-0.030578,-0.087644,0.010156,0.019811,0.060753,-0.012757,1,cluster1
180,-0.016025,0.064452,-0.004119,-0.014681,-0.034607,0.008485,-0.083716,0.058417,0.039817,0.019652,-0.025486,-0.088868,-0.079304,-0.036754,-0.045095,-0.065788,0.042065,0.113093,0.005631,0.01967,-0.026226,1,cluster1
181,-0.022825,-0.002932,-0.078576,0.063984,0.057728,0.017987,-0.020347,-0.012839,0.052176,-0.019752,-0.119367,-0.062489,0.053181,-0.045118,-0.020774,-0.041528,-0.100159,-0.022382,0.075574,0.021681,0.04573,1,cluster1
182,0.019804,0.051072,-0.043374,-0.005401,0.039995,-0.02833,-0.019619,-0.039627,0.048602,0.01547,-0.129835,-0.05158,0.094231,0.00751,-0.051772,-0.061891,-0.005683,-0.002135,0.117773,-0.018771,0.121966,1,cluster1
183,-0.024307,-0.084985,-0.003154,-0.089162,0.027434,-0.007236,0.002869,-0.059986,-0.01473,-0.026841,-0.026102,0.069512,-0.016123,0.035306,0.064143,0.008179,0.002681,0.024206,0.060477,0.087797,-0.002368,0,cluster0
184,-0.010315,-0.096809,-0.019403,-0.077674,0.03096,0.023841,0.027653,-0.113533,-0.020856,0.02065,-0.046425,0.038937,0.020764,0.044207,0.150955,0.037895,-0.037445,-0.034954,0.038377,0.108184,-0.005375,0,cluster0
185,0.013428,-0.070424,-0.03248,-0.112489,0.004365,0.008419,0.035582,-0.002903,-0.062799,0.004908,0.035616,0.017554,-0.017826,0.0407,0.094397,0.037008,0.034966,-0.000688,0.069419,0.108624,0.063846,0,cluster0
186,0.067353,0.061084,-0.000967,-0.068504,0.109395,0.146221,-0.086843,-0.048883,0.060686,0.294343,0.019449,-0.038032,0.024322,0.040836,0.113999,0.176645,0.03816,-0.015948,0.025358,0.129393,-0.019434,0,cluster0
187,0.118656,0.055906,-0.045923,-0.07301,0.089637,0.129999,-0.04706,-0.050232,0.008565,0.278611,-0.019188,-0.038479,0.064475,0.055185,0.13054,0.152459,0.031219,-0.10166,0.107207,0.09767,0.090937,0,cluster0
188,0.001706,-0.071922,-0.016783,-0.093851,-0.028685,0.046172,0.017824,-0.000738,0.009404,-0.020218,0.039491,0.095721,-0.028989,0.048179,0.004578,0.022211,0.122993,0.057986,-0.00124,0.134019,-0.053514,0,cluster0
189,0.0422,0.129552,0.004827,0.014049,-0.008369,0.028094,0.113703,-0.011485,0.041592,-0.029016,0.00127,0.137477,0.07144,0.054052,-0.093268,0.095048,0.014911,0.057763,-0.047576,0.059969,-0.110842,0,cluster0
190,-0.009513,0.003093,0.078263,-0.059763,-0.134409,0.087739,0.072994,0.106897,0.047596,-0.00376,-0.044412,-0.045305,0.027839,0.037599,0.016448,0.021605,0.065562,-0.017904,0.021998,0.040417,0.016223,0,cluster0
191,-0.038344,0.071659,0.024405,0.055616,-0.095218,0.017017,0.109738,0.087879,0.044986,-0.002634,-0.011375,-0.066275,0.042436,0.001079,0.059228,0.019211,0.022796,0.037821,-0.075436,0.0683,0.039778,0,cluster0
192,-0.069624,-0.095278,0.118545,0.087419,0.119326,0.062969,0.106803,0.139419,0.273805,0.111961,0.039735,0.1696,-0.006791,0.02319,-0.119545,-0.047235,0.109481,-0.058267,-0.169123,0.069957,0.209816,0,cluster0
193,-0.052911,0.157948,0.064253,-0.004658,-0.008139,0.046798,0.071922,-0.107794,0.119115,0.117148,-0.127763,0.171147,-0.001151,-0.041909,-0.039989,0.037536,-0.053494,-0.038346,0.011289,-0.016923,0.010761,0,cluster0
194,-0.086658,0.154435,0.042152,-0.049508,-0.053682,0.111777,0.062829,0.00037,0.091962,-0.068719,0.018956,0.043518,-0.032903,-0.106213,-0.055382,0.038082,-0.178622,0.069417,-0.050016,0.059964,0.028098,0,cluster0
